/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/ConfigScreen.tsx: line 18, col 22, Error - 'LucideLogOut' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/ConfigScreen.tsx: line 18, col 36, Error - 'LucideShield' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/ConfigScreen.tsx: line 18, col 50, Error - 'LucideChevronRight' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CycleCalendarScreen.tsx: line 58, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/CycleCalendarScreen.tsx: line 169, col 69, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/DailyAgendaScreen.tsx: line 81, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/DailyAgendaScreen.tsx: line 129, col 71, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/DailySummaryScreen.tsx: line 19, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/DailySummaryScreen.tsx: line 20, col 26, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/DailySummaryScreen.tsx: line 112, col 60, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/EnergyMapScreen.tsx: line 47, col 9, Error - 'areaD' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/EnergyMapScreen.tsx: line 87, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/EnergyMapScreen.tsx: line 175, col 68, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/ForgotPasswordScreen.tsx: line 20, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/ForgotPasswordScreen.tsx: line 40, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/GoogleCalendarScreen.tsx: line 4, col 37, Error - 'Linking' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/GoogleCalendarScreen.tsx: line 4, col 46, Error - 'Alert' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/GoogleCalendarScreen.tsx: line 22, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/HomeScreen.tsx: line 20, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/HrvResultScreen.tsx: line 75, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/HrvResultScreen.tsx: line 115, col 40, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/HrvTestScreen.tsx: line 7, col 44, Error - 'appTypography' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/HrvTestScreen.tsx: line 42, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/JournalChatScreen.tsx: line 10, col 3, Error - 'Avatar' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/JournalChatScreen.tsx: line 18, col 21, Error - 'appRadius' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/JournalChatScreen.tsx: line 36, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/JournalHubScreen.tsx: line 23, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/OnboardingChatScreen.tsx: line 16, col 3, Error - 'Avatar' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/OnboardingChatScreen.tsx: line 21, col 3, Error - 'IconButton' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/PaymentSuccessScreen.tsx: line 21, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/PlannerScreen.tsx: line 318, col 49, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/PlansScreen.tsx: line 4, col 29, Error - 'Linking' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/PlansScreen.tsx: line 91, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/PlansScreen.tsx: line 100, col 9, Error - 'annualTotal' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WebAppScreen.tsx: line 2, col 32, Error - 'Platform' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 10, col 3, Error - 'ProgressBar' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 12, col 3, Error - 'Divider' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 17, col 10, Error - 'LucideLineChart' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 17, col 27, Error - 'LucideZap' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 17, col 38, Error - 'LucideSmile' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 17, col 51, Error - 'LucideCheckCircle2' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 17, col 71, Error - 'LucideBrainCircuit' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/presentation/screens/WeeklyInsightsScreen.tsx: line 17, col 91, Error - 'LucideArrowRight' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/ubuntu/repo-supabase-audit/apps/mobile/src/services/ai_service.ts: line 205, col 12, Error - Unexpected constant condition. (no-constant-condition)

90 problems
